Date,Account,Category,Amount,Type,Payee,Clear
9/1/2018,Active Duty Checking,Salary,1460.79,income,VMC,Yes
6/5/2018,Active Duty Checking,,1458.92,transfer,,Yes
12/15/2017,Active Duty Checking,Bonus,1440.49,income,SCHW,Yes
12/2/2018,Chase Sapphire Reserve,Bankcharge,1435.16,expense,Consolidation,Yes
3/5/2018,Active Duty Checking,,1426.24,transfer,,Yes
6/24/2018,Active Duty Checking,,1406.93,transfer,,Yes
12/31/2017,Active Duty Checking,,1380.45,transfer,,Yes
2/19/2018,Active Duty Checking,,1334.27,transfer,,Yes
12/16/2018,Active Duty Checking,,1309.56,transfer,,Yes
6/6/2018,Active Duty Checking,Salary,1296.86,income,VMC,Yes
5/23/2018,Active Duty Checking,Salary,1296.86,income,VMC,Yes
4/25/2018,Active Duty Checking,Salary,1296.86,income,VMC,Yes
4/11/2018,Active Duty Checking,Salary,1296.86,income,VMC,Yes
6/20/2018,Active Duty Checking,Salary,1296.85,income,VMC,Yes
5/9/2018,Active Duty Checking,Salary,1296.85,income,VMC,Yes
1/17/2018,Active Duty Checking,,1262.45,transfer,,Yes
7/9/2018,Chase Freedom Unlimited,Education,1249,expense,Med Study,Yes
3/5/2018,AMEX Platinum,Travel,1245.21,expense,Delta,Yes
3/5/2018,AMEX Platinum,Travel,1245.21,expense,Delta,Yes
5/14/2018,Active Duty Checking,Tax,1230,income,NCDOR,Yes
7/14/2018,Active Duty Checking,,1189.82,transfer,,Yes
7/1/2018,Active Duty Checking,,1189.82,transfer,,Yes
6/18/2018,Active Duty Checking,,1189.82,transfer,,Yes
6/5/2018,Active Duty Checking,,1189.82,transfer,,Yes
5/21/2018,Active Duty Checking,,1189.82,transfer,,Yes
5/2/2018,Active Duty Checking,,1189.82,transfer,,Yes
4/4/2018,Active Duty Checking,,1189.82,transfer,,Yes
3/5/2018,Active Duty Checking,,1189.82,transfer,,Yes
2/19/2018,Active Duty Checking,,1189.82,transfer,,Yes
2/4/2018,Active Duty Checking,,1189.82,transfer,,Yes
12/31/2017,Active Duty Checking,,1189.82,transfer,,Yes
1/4/2019,Active Duty Checking,,1166.99,transfer,,Yes
1/16/2018,Chase Freedom Unlimited,Bankcharge,1158.82,income,Reconcile,Yes
10/21/2018,Chase Freedom Unlimited,Education,1148.61,expense,Dell,Yes
12/20/2017,Chase Freedom Unlimited,Auto,1126.76,expense,Tesla,Yes
12/20/2017,Chase Freedom Unlimited,Auto,1126.76,expense,Tesla,Yes
2/19/2018,Active Duty Checking,,1117.36,transfer,,Yes
1/1/2019,Active Duty Checking,,1109.98,transfer,,Yes
12/1/2018,Active Duty Checking,,1109.98,transfer,,Yes
1/2/2018,Active Duty Checking,,1109.98,transfer,,Yes
1/2/2018,Active Duty Checking,,1109.98,transfer,,Yes
1/2/2018,Shared Savings,,1109.98,transfer,,Yes
12/31/2017,Active Duty Checking,,1109.98,transfer,,Yes
11/1/2018,Active Duty Checking,,1109.94,transfer,,Yes
10/1/2018,Active Duty Checking,,1109.94,transfer,,Yes
9/1/2018,Active Duty Checking,,1109.94,transfer,,Yes
8/1/2018,Active Duty Checking,,1109.94,transfer,,Yes
7/1/2018,Active Duty Checking,,1109.94,transfer,,Yes
6/1/2018,Active Duty Checking,,1109.94,transfer,,Yes
5/2/2018,Active Duty Checking,,1109.94,transfer,,Yes
4/4/2018,Active Duty Checking,,1109.94,transfer,,Yes
2/19/2018,Active Duty Checking,,1109.94,transfer,,Yes
10/1/2018,Active Duty Checking,,1092.99,transfer,,Yes
8/15/2018,Active Duty Checking,,1001.62,transfer,,Yes
3/15/2018,Active Duty Checking,,1000,transfer,,Yes
11/5/2018,Chase Freedom Unlimited,Auto,986.7,expense,Tesla,Yes
11/18/2018,Active Duty Checking,,963.14,transfer,,Yes
10/6/2018,Chase Sapphire Reserve,Travel,919.41,expense,Virgin Aust,Yes
7/18/2018,Chase Freedom Unlimited,Auto,911.63,expense,Tesla,Yes
9/29/2018,Shared Savings,Salary,900,income,VMC,Yes
5/21/2018,Active Duty Checking,,897.58,transfer,,Yes
4/4/2018,Active Duty Checking,,839.82,transfer,,Yes
1/19/2019,Active Duty Checking,,821.22,transfer,,No
2/25/2018,AMEX Platinum,Travel,772,expense,Southwest,Yes
5/2/2018,Active Duty Checking,,767.46,transfer,,Yes
12/12/2018,Chase Freedom Unlimited,Auto,732.34,expense,Tesla,Yes
10/16/2018,Active Duty Checking,,710,transfer,,Yes
10/16/2018,Active Duty Checking,,707.86,transfer,,Yes
10/16/2018,AMEX Platinum,Travel,707.86,expense,AMEX Travel,Yes
7/1/2018,Active Duty Checking,,705.17,transfer,,Yes
12/13/2018,Chase Freedom Unlimited,Entertainment,703.99,expense,Amazon,Yes
1/10/2019,Chase Freedom Unlimited,Entertainment,692.81,income,Amazon,Yes
12/10/2018,Chase Freedom Unlimited,Entertainment,692.81,expense,Amazon,Yes
7/31/2018,Active Duty Checking,,686.02,transfer,,Yes
10/1/2018,Active Duty Checking,,686,transfer,,Yes
9/19/2018,AMEX Platinum,Travel,686,expense,AMEX Travel,Yes
3/23/2018,Active Duty Checking,,666.94,transfer,,Yes
4/4/2018,Chase Freedom Unlimited,Pets,644,expense,Brentwood,Yes
6/5/2018,Active Duty Checking,,643.26,transfer,,Yes
12/5/2018,AMEX Platinum,Travel,635.2,expense,United,Yes
3/12/2018,Chase Freedom Unlimited,Clothing,625.68,expense,Amazon,Yes
1/22/2018,Chase Freedom Unlimited,Education,615,expense,Grand Canyon University,Yes
3/8/2018,Chase Freedom Unlimited,Education,604.23,expense,Grand Canyon University,Yes
8/15/2018,Active Duty Checking,,600,transfer,,Yes
12/19/2017,Chase Freedom Unlimited,Education,600,expense,Grand Canyon University,Yes
6/18/2018,Active Duty Checking,,590.62,transfer,,Yes
7/28/2018,Chase Freedom Unlimited,Auto,567.32,expense,5 Star ,Yes
11/27/2018,Chase Sapphire Reserve,Travel,548,expense,Hilton Hotel,Yes
12/9/2018,AMEX Platinum,Travel,538.6,expense,Southwest,Yes
7/17/2018,Chase Freedom Unlimited,Entertainment,529.64,expense,Ticketmaster,Yes
11/18/2018,Chase Freedom Unlimited,Pets,520,expense,Rover,Yes
7/14/2018,Active Duty Checking,,500,transfer,,Yes
6/24/2018,Active Duty Checking,,498.76,transfer,,Yes
6/18/2018,AMEX Platinum,Travel,498.76,expense,AMEX Travel,Yes
1/21/2019,Chase Freedom Unlimited,Clothing,495.22,expense,Backcountry,No
3/12/2018,AMEX Platinum,Travel,492,expense,AMEX Travel ,Yes
12/14/2017,Chase Freedom Unlimited,Pets,475,expense,Rover,Yes
7/1/2018,Active Duty Checking,,474.99,transfer,,Yes
4/18/2018,Active Duty Checking,,472.69,transfer,,Yes
7/14/2018,Active Duty Checking,,464.68,transfer,,Yes
7/1/2018,Chase Freedom Unlimited,Gifts,462.84,expense,Pay Pal,Yes
11/1/2018,Chase Sapphire Reserve,Bankcharge,450,expense,Chase Sapphire,Yes
3/5/2018,AMEX Platinum,Travel,442.49,expense,Flying Mango,Yes
12/9/2017,Chase Freedom Unlimited,Home Repair,439.72,expense,Lowe,Yes
12/31/2017,Active Duty Checking,,433.41,transfer,,Yes
12/27/2017,AMEX Platinum,Travel,433.41,expense,Hilton Hotel,Yes
2/19/2018,Chase Freedom Unlimited,Utilities,420.27,expense,Wilson,Yes
1/15/2019,AMEX Platinum,Travel,416.62,expense,Alaska,No
1/15/2019,AMEX Platinum,Travel,404.6,expense,American Airlines,No
10/31/2018,Active Duty Checking,,404.2,transfer,,Yes
1/2/2018,Active Duty Checking,Gifts,400,income,Pay Pal,Yes
12/21/2017,Active Duty Checking,Gifts,400,expense,Pay Pal,Yes
12/19/2017,Active Duty Checking,Gifts,400,expense,Pay Pal,Yes
12/21/2017,Chase Freedom Unlimited,Entertainment,397,expense,Stubhub,Yes
9/14/2018,Chase Freedom Unlimited,Utilities,395.59,expense,Wilson,Yes
8/15/2018,Active Duty Checking,,390.61,transfer,,Yes
6/18/2018,Active Duty Checking,,389.84,transfer,,Yes
4/19/2018,Chase Freedom Unlimited,Clothing,386.16,expense,Amazon,Yes
12/23/2017,Chase Sapphire Reserve,Dining,386.08,expense,Jean Georges,Yes
10/11/2018,Chase Sapphire Reserve,Dining,377.86,expense,Herons,Yes
10/8/2018,Chase Freedom Unlimited,Entertainment,373.61,expense,Amazon,Yes
7/14/2018,Chase Freedom Unlimited,Utilities,370.31,expense,Wilson,Yes
10/10/2018,Chase Sapphire Reserve,Travel,369.45,expense,Hamilton,Yes
9/2/2018,Active Duty Checking,,365.63,transfer,,Yes
9/13/2018,Active Duty Checking,,365.31,transfer,,Yes
8/17/2018,Chase Freedom Unlimited,Utilities,364.33,expense,Wilson,Yes
6/16/2018,Chase Freedom Unlimited,Education,350,expense,Academic Pediatric Association,Yes
12/9/2017,Active Duty Checking,Entertainment,350,expense,Paypal,Yes
10/31/2018,Chase Freedom Unlimited,Utilities,346,expense,Wilson,Yes
5/21/2018,Active Duty Checking,,345.65,transfer,,Yes
10/1/2018,Active Duty Checking,,344.85,transfer,,Yes
12/12/2017,Chase Freedom Unlimited,Entertainment,344,expense,Todaytix,Yes
12/1/2018,Chase Sapphire Reserve,Travel,339.9,expense,Radisson,Yes
12/30/2017,Chase Freedom Unlimited,Auto,330.76,expense,Safelite,Yes
3/18/2018,Chase Freedom Unlimited,Utilities,328.08,expense,Wilson,Yes
3/20/2018,Chase Freedom Unlimited,Pets,327.42,expense,Rover,Yes
2/19/2018,Active Duty Checking,,325.84,transfer,,Yes
11/18/2018,Chase Freedom Unlimited,Utilities,317.92,expense,Wilson,Yes
4/18/2018,Chase Freedom Unlimited,Utilities,313.61,expense,Wilson,Yes
1/17/2018,Active Duty Checking,,311.8,transfer,,Yes
2/10/2018,Chase Freedom Unlimited,Groceries,309.29,expense,Costco,Yes
1/17/2018,Chase Freedom Unlimited,Utilities,306.86,expense,Wilson,Yes
8/31/2018,Chase Freedom Unlimited,Pets,306.08,expense,Brentwood,Yes
6/18/2018,Chase Freedom Unlimited,Utilities,303.98,expense,Wilson,Yes
1/21/2019,Chase Freedom Unlimited,Clothing,298.9,expense,Oakley,No
9/8/2018,Chase Freedom Unlimited,Groceries,295.34,expense,Costco,Yes
2/4/2018,Active Duty Checking,,295.25,transfer,,Yes
12/19/2017,Chase Freedom Unlimited,Utilities,291.6,expense,Wilson,Yes
3/15/2018,Active Duty Checking,,283.78,transfer,,Yes
6/24/2018,Chase Freedom Unlimited,Entertainment,281.7,expense,Best Buy,Yes
12/26/2017,Chase Freedom Unlimited,Auto,280,expense,51684,Yes
8/27/2018,Chase Freedom Unlimited,Education,278,expense,Nash Community College,Yes
1/3/2018,Active Duty Checking,Gifts,277.69,income,Pay Pal,Yes
4/6/2018,Chase Freedom Unlimited,Entertainment,267.5,expense,Black Ops,Yes
1/26/2018,Chase Freedom Unlimited,Clothing,267.49,expense,Babys R Us,Yes
9/10/2018,Chase Freedom Unlimited,Entertainment,266.85,expense,Amazon,Yes
1/22/2019,Chase Freedom Unlimited,Entertainment,263.67,expense,Google,No
12/7/2018,Chase Freedom Unlimited,Clothing,263.57,expense,Oakley,Yes
3/27/2018,Active Duty Checking,Cash,262.98,expense,ATM,Yes
1/19/2019,Chase Freedom Unlimited,Utilities,259.65,expense,Wilson,No
9/8/2018,Chase Freedom Unlimited,Groceries,258.56,expense,Costco,Yes
1/21/2019,Chase Freedom Unlimited,Clothing,256.2,expense,Oakley,No
5/21/2018,Chase Freedom Unlimited,Utilities,254.64,expense,Wilson,Yes
4/15/2018,Chase Freedom Unlimited,Home Repair,254.48,expense,Lowe,Yes
1/23/2019,Chase Freedom Unlimited,Auto,252.77,expense,Lee Nissan,No
12/22/2017,Chase Freedom Unlimited,Entertainment,250,expense,Pantinagroup,Yes
12/6/2017,Active Duty Checking,Gifts,250,expense,Pay Pal,Yes
3/20/2018,Chase Freedom Unlimited,Clothing,249.92,expense,Amazon,Yes
11/25/2018,Chase Sapphire Reserve,Travel,243.13,expense,Hilton,Yes
12/10/2017,Chase Freedom Unlimited,Groceries,236.53,expense,Costco,Yes
12/16/2018,Chase Freedom Unlimited,Utilities,229.44,expense,Wilson,Yes
10/22/2018,Chase Freedom Unlimited,Entertainment,218.84,expense,Amazon,Yes
10/8/2018,Chase Freedom Unlimited,Groceries,216.99,expense,Costco,Yes
3/18/2018,Chase Freedom Unlimited,Groceries,213.53,expense,Costco,Yes
6/24/2018,Chase Freedom Unlimited,Entertainment,213.43,expense,Best Buy,Yes
8/13/2018,Chase Freedom Unlimited,Auto,213.33,expense,Hubert Vester,Yes
12/27/2017,Chase Freedom Unlimited,Utilities:Telephone,213.03,expense,Verizon Wireless,Yes
3/15/2018,Chase Freedom Unlimited,Utilities:Telephone,212.25,expense,Verizon Wireless,Yes
5/21/2018,Chase Freedom Unlimited,Utilities:Telephone,212.19,expense,Verizon Wireless,Yes
4/17/2018,Chase Freedom Unlimited,Utilities:Telephone,212.19,expense,Verizon Wireless,Yes
2/19/2018,Chase Freedom Unlimited,Utilities:Telephone,210.1,expense,Verizon Wireless,Yes
1/17/2018,Chase Freedom Unlimited,Utilities:Telephone,209.62,expense,Verizon Wireless,Yes
8/12/2018,Chase Freedom Unlimited,Groceries,205.79,expense,Costco,Yes
3/21/2018,Chase Freedom Unlimited,Entertainment,205,expense,Zola,Yes
11/29/2018,Chase Freedom Unlimited,Entertainment,204.58,expense,Amazon,Yes
12/23/2017,Chase Freedom Unlimited,Clothing,201.76,expense,Patagonia,Yes
4/4/2018,Active Duty Checking,,200.36,transfer,,Yes
3/24/2018,Active Duty Checking,Gifts,200,expense,Pay Pal,Yes
12/22/2017,Active Duty Checking,Cash,200,expense,ATM,Yes
10/8/2018,Chase Freedom Unlimited,Entertainment,199.99,expense,Amazon,Yes
12/3/2017,Chase Freedom Unlimited,Utilities:Telephone,199,expense,Asurion Wireless,Yes
3/21/2018,Chase Sapphire Reserve,Travel,193.1,expense,Pumba,Yes
2/3/2018,Chase Freedom Unlimited,Groceries,191.37,expense,Costco,Yes
10/16/2018,Chase Freedom Unlimited,Utilities:Telephone,190.94,expense,Verizon Wireless,Yes
9/9/2018,Chase Freedom Unlimited,Utilities:Telephone,190.84,expense,Verizon Wireless,Yes
8/15/2018,Chase Freedom Unlimited,Utilities:Telephone,190.84,expense,Verizon Wireless,Yes
7/14/2018,Chase Freedom Unlimited,Utilities:Telephone,188.2,expense,Verizon Wireless,Yes
7/15/2018,Chase Freedom Unlimited,Groceries,185.48,expense,Costco,Yes
3/5/2018,Active Duty Checking,,182.08,transfer,,Yes
9/13/2018,Active Duty Checking,Not Sure,181.83,income,Consolidation,Yes
4/27/2018,Chase Freedom Unlimited,Groceries,175.48,expense,Costco,Yes
9/8/2018,Chase Freedom Unlimited,Groceries,173.65,expense,Costco,Yes
1/1/2019,Chase Sapphire Reserve,Travel,173.18,income,Crown Plaza,Yes
1/1/2019,Chase Sapphire Reserve,Travel,173.18,expense,Crown Plaza,Yes
7/29/2018,Chase Freedom Unlimited,Groceries,172.01,expense,Costco,Yes
1/19/2019,Active Duty Checking,,171.76,transfer,,No
3/13/2018,Chase Freedom Unlimited,Clothing,171.03,expense,Amazon,Yes
10/19/2018,Chase Freedom Unlimited,Groceries,169.29,expense,Costco,Yes
3/5/2018,AMEX Platinum,Travel,166.68,expense,Travel Insurance,Yes
8/26/2018,Chase Freedom Unlimited,Groceries,166.59,expense,Costco,Yes
11/18/2018,Chase Freedom Unlimited,Auto,166.24,expense,USAA,Yes
10/16/2018,Chase Freedom Unlimited,Auto,166.23,expense,USAA,Yes
10/3/2018,Chase Freedom Unlimited,Auto,166.23,expense,USAA,Yes
8/15/2018,Chase Freedom Unlimited,Auto,166.23,expense,USAA,Yes
7/14/2018,Chase Freedom Unlimited,Auto,166.23,expense,USAA,Yes
6/20/2018,Chase Freedom Unlimited,Auto,166.23,expense,USAA,Yes
5/2/2018,Chase Freedom Unlimited,Auto,166,expense,NCDMV,Yes
12/16/2018,Chase Sapphire Reserve,Travel,165.9,expense,Hilton Hotel,Yes
6/18/2018,Chase Freedom Unlimited,Utilities:Telephone,164.86,expense,Verizon Wireless,Yes
5/21/2018,Chase Freedom Unlimited,Auto,164.7,expense,USAA,Yes
4/17/2018,Chase Freedom Unlimited,Auto,164.7,expense,USAA,Yes
3/15/2018,Chase Freedom Unlimited,Auto,164.7,expense,USAA,Yes
2/19/2018,Chase Freedom Unlimited,Auto,164.7,expense,USAA,Yes
12/29/2018,Chase Freedom Unlimited,Utilities:Telephone,163.03,expense,Verizon Wireless,Yes
11/18/2018,Chase Freedom Unlimited,Utilities:Telephone,163.03,expense,Verizon Wireless,Yes
1/19/2019,Chase Freedom Unlimited,Auto,162.81,expense,USAA,No
12/7/2017,Chase Freedom Unlimited,Auto,161.87,expense,USAA,Yes
6/17/2018,Chase Freedom Unlimited,Clothing,160.86,expense,Babys R Us,Yes
2/16/2018,Chase Freedom Unlimited,Groceries,160.77,expense,Costco,Yes
6/23/2018,Chase Freedom Unlimited,Entertainment,160.16,expense,Steam,Yes
1/5/2018,Shared Savings,Bonus,160,income,Deposit,Yes
3/19/2018,Chase Freedom Unlimited,Clothing,159.95,income,Amazon,Yes
12/8/2018,Chase Freedom Unlimited,Groceries,158.75,expense,Costco,Yes
10/28/2018,Chase Freedom Unlimited,Groceries,158.1,expense,Grand Asia,Yes
4/20/2018,Chase Freedom Unlimited,Clothing,156.94,income,Amazon,Yes
12/24/2017,Chase Sapphire Reserve,Dining,155.78,expense,Carmines,Yes
12/13/2018,Chase Sapphire Reserve,Travel,155.6,income,Westin,Yes
6/9/2018,Chase Freedom Unlimited,Groceries,155.04,expense,Costco,Yes
10/5/2018,Chase Sapphire Reserve,Travel,154.55,expense,Hamilton,Yes
12/11/2018,Chase Freedom Unlimited,Entertainment,150,expense,Vail,Yes
1/21/2018,Chase Freedom Unlimited,Education,150,expense,Grand Canyon University,Yes
4/22/2018,Chase Freedom Unlimited,Clothing,149.95,expense,Amazon,Yes
12/14/2017,Chase Freedom Unlimited,Clothing,148.38,expense,Arc£¡@££?£¥¡­¡­&teryx,Yes
11/7/2018,Chase Freedom Unlimited,Education,146.88,expense,Wix,Yes
4/22/2018,Chase Freedom Unlimited,Home Repair,143.15,income,Lowe,Yes
1/17/2018,Chase Freedom Unlimited,Auto,142.63,expense,USAA,Yes
1/23/2019,Active Duty Checking,Auto,140,expense,Walter Hagen,No
11/11/2018,Chase Sapphire Reserve,Dining,140,expense,Legal Sea Foods,Yes
6/9/2018,Chase Sapphire Reserve,Travel,140,expense,Liason Capital Hill,Yes
7/18/2018,Chase Freedom Unlimited,Clothing,139,expense,Amazon,Yes
6/13/2018,Chase Freedom Unlimited,Clothing,138.96,expense,Amazon,Yes
5/2/2018,Chase Freedom Unlimited,Entertainment,138.74,expense,Best Buy,Yes
12/11/2017,Chase Freedom Unlimited,Home Repair,138.23,expense,Lowe,Yes
3/4/2018,Chase Freedom Unlimited,Auto,136.9,expense,Safelite,Yes
11/10/2018,Chase Freedom Unlimited,Auto:Service,136.16,expense,Fred Anderson,Yes
12/16/2018,AMEX Platinum,Travel,135.76,expense,Enterprise,Yes
3/13/2018,Chase Sapphire Reserve,Travel,134.27,expense,Hilton Hotel,Yes
5/2/2018,Active Duty Checking,,131.46,transfer,,Yes
5/26/2018,Chase Sapphire Reserve,Dining,131.04,expense,Orchid,Yes
1/19/2019,Chase Freedom Unlimited,Bankcharge,130.29,expense,Consolidation,Yes
1/2/2019,Chase Freedom Unlimited,Auto,129.06,expense,USAA,Yes
12/13/2018,Chase Freedom Unlimited,Entertainment,128.08,expense,Amazon,Yes
5/30/2018,Chase Freedom Unlimited,Clothing,127.69,expense,Amazon,Yes
12/21/2018,Chase Freedom Unlimited,Gifts,127.03,expense,Duty Free Denver,Yes
3/4/2018,Chase Freedom Unlimited,Groceries,126.9,expense,Costco,Yes
12/4/2018,Chase Freedom Unlimited,Pets,125.8,expense,Petsmart,Yes
10/17/2018,Active Duty Checking,Salary,125,income,Vidant,Yes
10/4/2018,Chase Freedom Unlimited,Education,125,expense,Medical Board,Yes
12/21/2017,Active Duty Checking,Salary,125,income,VMC,Yes
12/17/2017,Chase Freedom Unlimited,Education,125,expense,NC Medical,Yes
4/2/2018,Chase Freedom Unlimited,Groceries,124.2,expense,Costco,Yes
12/15/2017,Chase Freedom Unlimited,Auto:Service,123.94,expense,Toyota,Yes
11/25/2018,Chase Sapphire Reserve,Dining,123,expense,Sydney Tower Dining,Yes
3/14/2018,AMEX Platinum,Travel,123,income,AMEX Travel,Yes
12/17/2018,Chase Freedom Unlimited,Home Repair,122.32,expense,Target,Yes
4/27/2018,Chase Freedom Unlimited,Auto:Service,122.05,expense,Fred Anderson,Yes
12/24/2017,Chase Freedom Unlimited,Travel,122,expense,Empire State Building,Yes
12/15/2017,Chase Freedom Unlimited,Groceries,121.51,expense,H Mart,Yes
7/9/2018,Chase Freedom Unlimited,Home Repair,121.12,expense,Lowe,Yes
12/9/2017,Chase Sapphire Reserve,Dining,121,expense,Orchid,Yes
3/28/2018,Chase Sapphire Reserve,Travel,120.48,expense,Graham Hotel,Yes
11/19/2018,Chase Freedom Unlimited,Entertainment,120.2,expense,Amazon,Yes
10/9/2018,Active Duty Checking,Pets,120,expense,Check,Yes
7/25/2018,Active Duty Checking,Gifts,120,expense,Pay Pal,Yes
4/27/2018,Chase Freedom Unlimited,Groceries,120,expense,Costco,Yes
