,purch_amt,gender,card_on_file,age,days_since_last_purch,loyalty
103,-6.79,female,yes,18,67,0
104,15.68,female,no,34,69,0
105,75.57,female,yes,40,36,0
106,55.44,female,yes,28,55,1
107,42.43,male,yes,12,58,0
108,34.17,female,no,32,65,0
109,76.15,female,yes,2,64,0
110,53.6,male,yes,31,46,0
111,15.06,male,yes,5,59,0
112,71.09,female,yes,5,61,0
113,62.82,female,yes,23,56,0
114,10.55,female,yes,12,73,0
115,-12.85,female,yes,23,63,0
116,34,male,yes,25,60,0
117,63.79,female,yes,17,79,0
118,34.65,female,no,23,65,0
119,-5,male,no,23,69,0
120,42.77,female,yes,19,42,1
121,36.9,male,yes,23,50,0
122,68.86,male,no,32,49,0
123,42.05,female,yes,21,46,0
124,50.64,female,no,15,56,0
125,56.28,female,yes,23,38,1
126,-3.85,male,no,21,51,0
127,97.05,male,no,25,78,0
128,45.75,female,yes,33,57,0
129,58.96,female,yes,18,54,1
130,32.78,female,yes,44,34,0
131,57.31,female,yes,34,80,0
132,23.84,female,yes,10,75,0
133,89.35,female,yes,4,28,1
134,47.62,female,no,42,78,0
135,9.08,female,no,41,32,0
136,54.04,female,no,39,69,0
137,16.5,male,no,31,42,0
138,86.02,female,no,27,27,1
139,42.99,male,yes,23,69,0
140,31.67,male,yes,22,44,1
141,82.02,female,no,31,67,0
142,15.61,female,no,28,42,0
143,63.8,female,no,52,48,0
144,45.86,female,no,24,56,0
145,23.56,female,yes,37,53,0
146,52.5,male,no,26,74,0
147,46.55,male,no,28,82,0
148,48.68,male,yes,17,64,0
149,71.31,female,yes,24,63,0
150,39.88,male,yes,23,77,0
151,84.72,female,yes,45,54,1
152,60.79,male,no,0,53,0
153,24.08,male,yes,22,77,0
154,51.19,male,no,18,51,0
155,70.6,male,no,30,60,0
156,34.94,male,no,44,74,0
157,5.91,female,no,37,79,0
158,49.64,female,yes,28,56,1
159,71.17,female,no,28,57,0
160,33.55,male,no,27,56,0
161,93.12,male,no,34,50,0
162,72.27,female,no,16,72,0
163,-1.34,female,yes,16,45,0
164,38.77,female,yes,39,76,0
165,46.97,female,no,42,48,0
166,45.63,male,yes,13,70,0
167,24.06,female,no,36,41,0
168,22.24,male,yes,23,64,0
169,45.19,male,yes,24,46,1
170,12.15,male,yes,23,59,0
171,72.87,female,yes,41,44,1
172,19.41,female,yes,20,55,0
173,32.99,male,no,32,37,0
174,58.83,female,no,25,35,0
175,65.31,female,yes,17,41,0
176,66.88,male,yes,23,75,0
177,49.09,male,yes,19,62,0
178,37.32,female,no,32,67,0
179,69.1,female,yes,16,10,1
180,52.11,female,no,25,44,0
181,65.66,male,no,22,57,0
182,47.27,male,yes,26,48,1
183,39.88,female,no,20,98,0
184,74.34,female,no,27,41,1
185,64.16,female,no,29,57,0
186,29.7,male,no,17,49,0
187,36.5,male,yes,34,76,0
188,55.2,female,no,36,38,0
189,95.54,female,no,26,77,0
190,70.07,female,yes,30,57,1
191,46.6,male,yes,24,70,0
192,55.66,male,no,32,56,0
193,55.99,male,no,33,65,0
194,71.4,male,no,22,78,0
195,54.73,male,yes,23,54,0
196,35.82,male,yes,34,52,0
197,85.29,male,no,36,80,0
198,84.51,male,no,12,45,1
199,45.09,male,yes,21,80,0
200,50.23,female,no,11,63,0
201,50.96,male,yes,25,36,0
202,4.83,female,yes,0,68,0
203,29.14,female,no,31,71,0
204,30.49,female,yes,16,75,0
205,50.31,female,no,37,39,0
206,26.5,female,no,16,75,0
207,58.28,male,yes,26,52,0
208,46.08,male,yes,13,58,0
209,36.36,female,no,12,66,0
210,48.36,male,no,38,78,0
211,59.14,female,yes,18,53,0
212,18.33,female,yes,30,40,0
213,70.9,female,no,26,46,1
214,42.29,male,no,18,77,0
215,81.17,male,no,31,34,0
216,53.6,male,no,28,80,0
217,15.04,female,no,18,67,0
218,24.16,female,no,31,52,0
219,32.52,female,yes,28,67,0
220,63.6,male,no,30,63,0
221,70.81,male,yes,19,51,0
222,32.53,female,no,30,69,0
223,56.91,female,no,9,66,0
224,55.23,male,yes,13,51,0
225,44.12,male,no,30,63,0
226,87.23,female,yes,22,62,0
227,61.9,male,no,16,48,0
228,40,female,no,26,57,0
229,16.38,male,yes,30,49,0
230,45.07,male,no,34,60,0
231,55.46,female,no,16,75,0
232,15.69,female,yes,9,86,0
233,41.54,female,yes,23,40,0
234,32.69,female,yes,22,68,0
235,76.64,male,yes,12,63,0
236,25.51,female,no,25,50,0
237,40.86,male,no,42,41,1
238,48.75,female,no,17,44,0
239,57.09,male,no,15,56,0
240,60.93,male,no,42,30,0
241,50.31,female,yes,35,56,0
242,67.83,male,yes,16,39,0
243,58.78,male,yes,9,70,0
244,45.22,female,no,33,80,0
245,50.5,female,no,22,74,0
246,39.7,female,no,24,70,0
247,31.41,female,no,18,60,0
248,83.49,female,yes,17,85,0
249,76.17,male,yes,24,43,0
250,30.63,male,no,33,60,0
251,56.15,male,no,18,63,0
252,54.72,male,yes,22,73,0
253,60.54,female,yes,27,72,0
254,59.97,female,no,15,85,0
255,49.8,male,no,26,61,0
256,58.39,male,yes,25,65,0
257,59.11,male,yes,24,69,0
258,45,male,no,34,38,1
259,54.28,female,no,31,75,0
260,64.94,male,no,25,61,0
261,35.78,male,no,26,94,0
262,36.88,female,yes,18,43,1
263,23.03,male,no,19,68,0
264,53.97,female,no,33,81,0
265,39.93,male,yes,8,76,0
266,43.61,female,no,26,36,1
267,38.82,female,no,36,41,1
268,39.7,female,no,31,26,0
269,45.73,female,no,34,22,0
270,63.98,male,no,23,53,0
271,47.16,female,no,33,44,0
272,64.53,male,yes,10,48,0
273,43.44,female,no,25,56,0
274,20.25,female,no,30,52,0
275,53.03,male,yes,21,56,0
276,56.7,female,no,11,56,0
277,33.06,male,no,35,49,1
278,64.1,male,no,21,39,0
279,50.27,male,no,22,76,0
280,67.52,female,yes,36,30,1
281,26.56,female,yes,23,61,0
282,15.99,male,no,17,96,0
283,21.26,female,no,11,78,0
284,62.46,female,no,11,45,0
285,69.34,male,yes,28,51,1
286,23.35,female,yes,11,53,0
287,71.28,female,yes,37,44,1
288,64.75,male,no,34,41,1
289,49.99,female,yes,28,53,0
290,72.32,female,yes,48,62,1
291,20.65,male,no,15,50,0
292,64.47,female,yes,30,27,1
293,37.14,female,yes,23,57,0
294,73.23,male,no,14,80,0
295,33.26,male,yes,26,45,0
296,44.97,female,no,17,87,0
297,32.67,female,no,32,57,0
298,74.73,male,no,10,69,0
299,65.92,female,yes,28,52,1
300,41.01,female,yes,31,84,0
301,36.45,female,yes,41,45,0
302,64.07,female,no,8,53,0
303,45.59,female,no,33,47,0
304,43.65,female,no,13,57,0
305,63.8,female,yes,15,59,0
306,13.18,female,yes,37,58,0
307,56.52,male,yes,9,70,0
308,20.43,female,yes,25,65,0
309,48.27,male,yes,23,63,0
310,41.28,female,yes,-6,63,0
311,53.79,female,yes,29,40,1
312,25.19,male,yes,36,55,0
313,58.54,male,yes,34,35,1
314,32.22,male,yes,38,66,0
315,32.1,female,no,19,66,0
316,44.11,female,yes,20,71,0
317,53.84,male,no,7,36,0
318,33.29,female,yes,20,50,0
319,33.89,male,yes,21,89,0
320,65.81,female,yes,52,36,1
321,47.58,female,yes,23,55,0
322,42.16,male,yes,38,41,0
323,17.61,male,yes,28,61,0
324,71.59,female,yes,19,77,0
325,22.93,female,no,30,65,0
326,43.98,male,no,26,50,0
327,26.28,female,yes,26,38,0
328,30.03,male,yes,16,48,0
329,17.73,male,yes,12,74,0
330,29.44,male,yes,9,54,0
331,61.6,male,yes,21,34,1
332,46.62,male,no,13,66,0
333,23.55,female,yes,43,57,1
334,63.48,female,no,30,41,1
335,45.25,male,yes,15,55,0
336,43.1,female,yes,28,76,0
337,81.2,male,no,31,16,1
338,46.01,male,no,19,67,0
339,17.66,male,yes,19,61,0
340,66.84,female,yes,21,49,0
341,63.69,female,yes,22,50,0
342,51.56,male,yes,26,86,0
343,22.53,male,no,10,55,0
344,44.46,male,yes,28,65,0
345,13.18,male,yes,12,78,0
346,34.61,male,yes,36,84,0
347,41.56,male,yes,28,26,1
348,11.7,male,yes,36,53,0
349,62.66,female,no,15,66,1
350,86.59,female,yes,33,33,0
351,39.7,female,no,16,38,0
352,62.33,male,no,28,78,0
353,7.01,male,yes,36,66,0
354,56.83,male,no,31,38,1
355,25.09,female,yes,35,56,0
356,44.19,male,no,21,55,0
357,43.88,male,yes,11,49,0
358,32.17,male,no,16,78,0
359,31.79,female,yes,23,58,0
360,19.09,female,yes,9,72,0
361,17.58,male,no,-3,39,0
362,39.06,male,no,33,40,0
363,40.4,male,no,24,57,0
364,60.55,male,yes,34,46,0
365,9.44,male,no,38,63,0
366,64.15,female,yes,49,46,0
367,70.15,female,no,38,47,0
368,28.46,female,yes,17,81,0
369,67.23,male,no,23,44,0
370,58.49,female,yes,32,36,0
371,36.88,male,no,20,44,0
372,46.84,male,no,13,52,0
373,55.77,female,no,26,34,1
374,18.16,female,yes,19,74,0
375,52.89,female,no,28,66,0
376,63.84,female,no,39,93,0
377,7.82,female,no,29,51,1
378,33.1,male,no,13,55,0
379,31.91,female,yes,45,31,0
380,47.8,female,no,23,70,0
381,43.4,female,yes,33,51,1
382,33.37,male,no,19,76,0
383,23.12,male,yes,35,66,0
384,70.47,male,no,25,98,0
385,64.35,female,yes,45,35,0
386,57.7,female,no,15,55,0
387,73.8,female,no,38,27,1
388,13.07,male,yes,10,51,0
389,29.47,male,no,31,57,0
390,8.13,female,yes,16,45,0
391,30.59,male,yes,22,77,0
392,11.97,male,no,40,68,0
393,45.25,female,yes,24,59,0
394,65.11,male,yes,22,42,0
395,69.82,male,yes,28,32,1
396,58.51,female,yes,28,69,0
397,49.41,female,yes,30,68,0
398,70.46,female,yes,21,61,0
399,74.52,female,yes,38,76,0
400,22.26,male,no,45,60,1
401,71.38,male,yes,26,59,0
402,57.68,female,no,21,77,0
403,45.06,male,yes,43,72,0
404,72.2,female,yes,37,48,1
405,9.8,female,no,13,54,0
406,66.73,female,no,12,42,0
407,43.17,male,yes,26,72,0
408,36.92,female,yes,28,58,0
409,51.36,male,no,24,80,0
410,35.67,male,yes,51,61,0
411,33.84,male,yes,42,65,0
412,49.22,female,no,32,58,0
413,33.13,female,no,44,47,0
414,42.34,male,yes,24,26,1
415,8.2,female,no,32,57,0
416,59.91,male,no,18,60,0
417,48.17,female,no,44,69,0
418,15.94,female,yes,40,50,1
419,33.24,male,yes,23,60,0
420,5.49,female,yes,38,35,0
421,96.01,female,yes,25,50,1
422,57.66,female,yes,21,41,1
423,32.45,female,yes,29,65,0
424,50.19,female,yes,6,85,0
425,67.27,male,yes,35,39,1
426,15.32,male,no,26,62,0
427,68.83,female,no,33,59,0
428,48.78,male,no,26,23,1
429,44.99,female,no,21,54,0
430,3.97,male,yes,29,73,0
431,83.84,female,yes,29,48,1
432,16.07,male,yes,33,62,0
433,18.09,female,yes,28,56,0
434,25.54,male,no,27,59,0
435,54.16,female,yes,31,50,0
436,25.68,male,yes,34,51,0
437,41.1,male,yes,35,59,0
438,53.68,female,yes,18,66,0
439,24.7,male,no,6,70,0
440,58.9,female,yes,21,73,0
441,27.74,male,yes,21,51,0
442,27.67,female,yes,27,72,0
443,26.98,female,no,20,61,0
444,53.18,male,no,11,66,0
445,24.16,female,yes,24,72,0
446,31.87,female,no,19,69,0
447,33.87,female,no,24,78,0
448,46.1,male,yes,25,70,0
449,34.63,female,yes,8,73,0
450,56.85,male,no,38,80,0
451,32.55,female,yes,43,62,0
452,76.37,female,no,48,46,0
453,28.32,female,no,18,45,0
454,44.28,male,yes,19,62,0
455,20.03,female,no,32,50,0
456,49.13,female,no,6,42,0
457,40.64,female,no,30,62,0
458,62.1,female,no,12,77,0
459,69.96,male,yes,20,82,0
460,70.49,male,yes,44,76,0
461,51.32,female,yes,36,41,0
462,46.28,female,no,32,65,0
463,24.39,female,no,35,38,0
464,22.21,female,no,18,56,0
465,17.91,female,yes,24,70,0
466,62.99,male,no,30,69,0
467,24.8,female,yes,37,80,0
468,18.04,male,no,21,81,0
469,59.32,female,yes,34,88,0
470,36.33,female,yes,20,58,0
471,70.91,female,no,14,53,1
472,48.43,female,yes,17,43,0
473,51.72,female,no,26,7,1
474,43.59,female,no,26,79,0
475,77.51,female,no,22,45,0
476,47.22,female,yes,16,33,1
477,94.67,female,no,24,37,1
478,43.89,male,no,26,59,0
479,18.86,female,no,28,44,0
480,33.59,male,no,31,50,0
481,-0.63,male,no,35,54,0
482,38.67,male,no,41,57,0
483,50.5,female,no,23,69,0
484,13.67,female,no,32,79,0
485,29.46,female,yes,14,55,0
486,37.16,female,no,26,84,0
487,79.5,female,no,32,57,0
488,42.57,male,yes,31,42,0
489,48.03,male,no,21,39,0
490,25.23,female,no,37,66,0
491,59.05,female,no,31,54,0
492,47.59,female,yes,36,41,1
493,55.24,male,no,36,80,0
494,61.39,female,yes,30,58,1
495,33.47,female,no,23,67,0
496,31.53,female,no,31,28,0
497,-3.24,male,no,13,78,0
498,30.81,female,no,21,63,0
499,36.58,male,yes,16,71,0
500,22.17,male,yes,17,55,0
501,94.07,male,no,26,52,0
502,43.79,male,no,26,35,0
503,32.79,male,no,11,54,0
504,29.45,female,yes,21,109,0
505,78.54,female,yes,19,68,0
506,54.76,female,no,33,23,1
507,57.3,male,yes,33,26,1
508,42.43,male,yes,22,73,0
509,67.87,female,no,30,63,0
510,41.46,female,yes,41,30,1
511,53.95,male,yes,21,29,0
512,60.37,male,yes,15,44,0
513,58.57,female,yes,22,72,0
514,51.41,female,no,20,68,1
515,11.85,female,no,34,57,0
516,40.62,female,yes,34,26,0
517,63.36,male,yes,12,8,1
518,29.56,female,no,29,66,0
519,48.01,male,no,30,46,1
520,45.99,female,no,20,52,1
521,59.37,female,yes,21,88,0
522,18.67,female,yes,21,57,0
523,27.97,male,no,21,69,0
524,47.32,male,no,43,30,0
525,48.31,male,no,21,42,0
526,74.24,female,no,25,57,0
527,21.03,female,yes,25,40,1
528,56.58,female,yes,27,48,1
529,47.27,male,no,18,35,0
530,25.49,male,yes,31,75,0
531,12.75,male,yes,33,81,0
532,51.42,male,yes,15,58,0
533,26.99,female,no,21,60,0
534,49.48,female,yes,37,51,0
535,76.47,female,yes,32,50,0
536,75.74,female,yes,14,57,0
537,32.84,male,no,33,68,0
538,76.87,male,yes,23,26,1
539,27.48,male,no,12,92,0
540,33.27,female,yes,29,77,0
541,69.69,female,no,21,72,0
542,73.03,male,yes,35,32,1
543,48.53,male,yes,35,45,1
544,65.9,male,no,35,37,1
545,48.66,male,yes,26,39,0
546,54.51,female,no,36,49,0
547,46.52,female,yes,17,56,0
548,69.51,female,no,35,46,0
549,22.82,female,no,23,61,0
550,57.64,male,yes,18,58,0
551,45.88,male,yes,32,58,0
552,29.41,male,no,30,79,1
553,59.54,male,no,34,84,0
554,23.31,male,no,8,66,0
555,47.93,male,yes,28,37,0
556,9.16,female,no,22,53,0
557,54.46,female,no,12,64,0
558,26.28,female,yes,25,97,0
559,46.36,male,yes,24,44,0
560,50.97,male,no,36,65,0
561,43.55,male,yes,30,61,0
562,23.44,male,no,31,64,0
563,32.99,female,no,20,62,0
564,37.05,male,no,51,38,1
565,66.51,male,no,24,36,0
566,21.59,female,no,11,65,0
567,65.67,male,yes,34,31,0
568,74.07,female,no,31,57,0
569,28.59,female,yes,37,31,1
570,81.84,male,yes,27,53,0
571,37.13,female,yes,19,65,0
572,10.69,male,no,24,45,0
573,54.65,female,yes,27,49,0
574,48.34,female,no,20,37,1
575,34.53,female,yes,22,63,0
576,-1.6,female,yes,29,54,0
577,8.29,male,no,18,63,0
578,61.76,female,no,18,33,0
579,54.69,male,no,21,66,0
580,47.08,male,no,9,87,0
581,54.73,female,yes,25,41,0
582,64.39,female,no,39,38,1
583,50.56,male,no,35,51,0
584,14.48,female,no,28,46,0
585,32.32,male,yes,19,57,0
586,37.14,female,yes,26,34,0
587,4.07,male,yes,23,88,0
588,7.04,female,yes,11,80,0
589,49.43,male,no,9,57,0
590,57.25,male,no,35,49,1
591,24.1,female,no,21,74,0
592,52.65,male,no,49,31,1
593,51.46,female,yes,20,42,0
594,59.86,male,no,29,62,0
595,44.56,female,yes,33,52,0
596,31.21,female,yes,40,32,1
597,26.88,female,no,36,63,0
598,88.9,male,no,43,32,0
599,61.51,male,yes,26,49,1
600,94.41,male,yes,19,47,1
601,41.56,female,yes,25,71,0
602,52.24,male,no,5,61,0
603,25.43,female,yes,28,35,0
604,39.29,male,yes,20,47,0
605,38.99,female,yes,3,27,1
606,45.34,female,yes,11,57,0
607,30.25,male,no,24,45,0
608,66.18,male,yes,23,46,0
609,70.77,male,no,34,43,0
610,30.96,female,yes,31,44,0
611,43.53,male,yes,33,47,1
612,40.19,male,yes,34,78,0
613,56.63,female,no,26,72,0
614,69.45,female,yes,8,45,0
615,16.97,female,yes,44,76,1
616,60.14,female,no,4,37,0
617,66.4,male,no,12,66,0
618,25.81,female,no,38,64,0
619,4.99,male,no,26,56,0
620,22.48,female,yes,23,78,0
621,58.58,male,no,22,39,1
622,21.12,female,no,19,64,0
623,41.43,male,no,24,61,1
624,23.84,male,yes,14,59,0
625,55.39,female,yes,17,54,0
626,35.68,male,yes,25,51,0
627,20.56,female,yes,25,89,0
628,32.35,female,yes,20,60,0
629,38.92,female,no,20,84,0
630,82.2,male,yes,49,31,1
631,39.02,female,yes,37,46,1
632,21.8,male,no,36,52,0
633,30.23,male,no,0,60,0
634,50.18,female,no,10,48,1
635,8.08,female,yes,22,73,0
636,56.95,male,yes,33,39,1
637,32.92,male,yes,30,44,0
638,12.07,female,no,31,15,1
639,-15.68,female,no,30,51,0
640,31.47,female,no,33,31,1
641,55.61,male,no,43,53,0
642,57.14,male,no,27,35,1
643,34.94,female,no,13,40,0
644,38.67,male,yes,20,78,0
645,84.4,female,no,21,65,0
646,44.41,male,yes,10,61,0
647,45.6,male,yes,29,49,0
648,31.54,male,no,15,57,0
649,44.11,male,no,20,68,0
650,48,female,yes,19,47,0
651,21.68,male,yes,15,50,0
652,91.22,male,no,38,52,1
653,33.78,male,yes,23,73,0
654,67.15,male,yes,26,13,1
655,69.08,female,yes,11,43,0
656,61.99,female,yes,17,47,0
657,35.96,female,yes,32,56,0
658,57.46,female,no,31,51,0
659,45.88,male,yes,28,58,0
660,33.13,male,yes,43,38,0
661,15.56,male,yes,21,51,0
662,44.77,female,yes,44,52,0
663,13.02,male,yes,25,54,0
664,42,female,yes,21,74,0
665,17.43,male,no,21,59,0
666,28.85,male,no,14,59,0
667,58.46,female,no,35,67,0
668,69.32,male,no,24,66,0
669,24.85,female,yes,29,59,0
670,56.05,female,no,19,67,0
671,42.3,male,yes,31,17,1
672,14.06,male,yes,20,68,0
673,45.43,female,yes,26,62,0
674,79.33,male,no,21,36,1
675,64.35,female,yes,27,62,0
676,17.18,female,no,19,43,1
677,39.77,male,yes,31,72,0
678,4.89,male,yes,20,63,0
679,46.6,female,no,30,61,0
680,17.93,female,no,26,70,0
681,67.51,female,no,24,53,0
682,88.87,male,yes,32,34,0
683,47.09,male,no,27,71,0
684,81.82,female,yes,31,39,0
685,-6.56,female,yes,27,75,0
686,41.85,male,yes,23,62,0
687,30.14,male,no,31,78,0
688,48.37,male,yes,33,54,0
689,30.94,male,yes,17,92,0
690,23.97,male,no,11,49,0
691,46.82,female,no,35,64,0
692,39.28,male,yes,21,47,0
693,49.7,female,no,24,35,1
694,23.61,female,no,21,81,0
695,15.02,male,yes,24,75,0
696,69.98,female,yes,16,52,0
697,76.86,male,no,7,52,1
698,12.55,male,no,28,55,0
699,38.94,female,no,38,25,1
700,61.2,male,yes,24,37,1
701,78.05,male,no,30,78,0
702,47.25,female,yes,31,36,0
703,109.97,female,yes,29,50,0
704,31.41,female,yes,27,46,0
705,21.69,male,yes,32,63,0
706,48.49,male,no,18,24,1
707,30.62,male,no,11,60,0
708,55.5,male,no,21,44,0
709,60.99,male,yes,23,39,1
710,64.53,female,yes,43,39,1
711,43.03,female,yes,28,51,1
712,76.83,female,yes,20,41,0
713,3.16,male,yes,1,38,0
714,23.26,male,no,35,29,0
715,94.7,female,no,26,47,1
716,30.93,female,no,16,53,0
717,55.37,male,no,24,63,0
718,52.63,male,no,49,95,0
719,38.77,male,yes,24,36,0
720,40.54,male,no,15,25,1
721,52.51,male,no,17,58,0
722,50.85,female,no,29,32,1
723,19.44,female,no,27,63,0
724,50.69,male,no,33,61,0
725,65.06,female,no,5,35,1
726,17.96,female,no,38,31,0
727,41.55,male,yes,21,63,0
728,51.4,female,yes,31,45,0
729,7.56,male,no,22,63,0
730,78.28,male,yes,36,32,1
731,53.03,male,no,34,69,0
732,66.63,male,yes,26,38,0
733,36.82,female,yes,27,37,0
734,19.18,female,no,23,53,0
735,59.33,male,yes,17,55,0
736,52.35,male,no,39,39,1
737,46.9,male,no,14,60,0
738,48.78,female,no,22,86,0
739,79.68,male,yes,19,47,0
740,37.64,female,no,22,72,0
741,25.4,male,yes,29,64,0
742,47.42,male,no,33,102,0
743,53.29,female,no,18,47,0
744,44.52,female,yes,35,47,1
745,16.31,male,yes,35,41,0
746,-14.78,female,no,36,63,0
747,29.11,male,yes,22,58,0
748,18.54,female,yes,33,64,0
749,55.51,female,yes,13,44,0
750,-3.55,male,no,16,60,0
751,31.15,male,no,23,81,0
752,4.02,male,no,25,41,0
753,28.29,male,yes,13,44,1
754,13.63,male,yes,24,42,0
755,50.39,male,yes,28,56,0
756,31.68,male,no,40,61,0
757,57.26,female,yes,35,60,0
758,29.33,female,no,38,44,0
759,55.1,male,no,14,85,0
760,17.2,male,no,26,65,0
761,82.07,male,yes,33,47,1
762,32.57,female,yes,33,56,0
763,59.81,female,no,33,80,0
764,32.86,male,no,22,59,0
765,25.19,male,yes,43,71,0
766,-1.5,male,no,11,60,0
767,51.38,male,no,21,57,0
768,60.52,male,no,21,100,0
769,19.37,male,yes,34,30,0
770,46.06,male,no,24,43,0
771,63.74,female,yes,-1,68,0
772,6.56,female,yes,25,41,0
773,28.3,male,no,28,13,1
774,65.88,female,no,22,61,0
775,64.63,female,yes,33,61,0
776,46.62,male,no,25,50,0
777,31.09,female,yes,12,49,0
778,57.19,male,no,17,61,0
779,43.16,female,no,43,52,0
780,55.3,male,no,38,58,1
781,32.73,female,yes,30,78,0
782,33.87,male,no,9,69,0
783,61.22,female,no,39,58,1
784,24.57,male,no,29,54,0
785,13.17,female,yes,15,48,0
786,40.06,female,yes,23,78,0
787,45.72,male,yes,35,58,0
788,34.31,female,yes,33,56,1
789,5.96,female,yes,30,33,0
790,26.68,male,no,23,85,0
791,82.04,female,yes,23,94,0
792,44.5,female,yes,35,46,1
793,60.92,male,yes,18,42,0
794,91.73,male,no,18,44,0
795,56.5,male,yes,24,30,0
796,72.69,female,yes,27,40,0
797,52.57,male,yes,21,78,0
798,34.97,male,no,38,29,1
799,71.02,female,yes,35,56,0
800,38.39,female,no,26,79,0
801,48.44,male,no,20,52,1
802,71.32,male,yes,18,49,0
803,16.56,female,yes,28,71,0
804,33.51,female,no,32,29,1
805,30.11,male,no,20,51,0
806,52.83,female,yes,15,47,0
807,54.99,female,yes,22,79,0
808,38.91,male,no,22,85,0
809,56.8,male,no,39,74,0
810,26.19,male,no,54,58,1
811,71.8,female,no,13,44,0
812,33.92,female,no,21,88,0
813,40.88,male,yes,4,76,0
814,24.56,male,no,34,91,0
815,-16.89,male,no,49,52,0
816,24.03,male,no,36,52,1
817,32.74,male,no,31,52,0
818,89.07,female,no,42,24,1
819,55.61,male,no,26,46,0
820,44.2,female,yes,23,82,0
821,73.26,male,yes,21,77,0
822,16.14,male,no,28,55,0
823,62.11,male,no,31,46,1
824,54.28,female,yes,36,45,1
825,18.76,female,no,5,80,0
826,57.08,male,no,30,73,0
827,75.03,male,no,13,79,0
828,1.56,female,no,-3,64,0
829,30.35,male,no,36,24,1
830,69.97,female,no,21,77,0
831,1.35,male,yes,26,59,0
832,59.59,male,no,38,75,0
833,49.07,female,no,41,79,0
834,59.35,female,yes,27,76,0
835,9.64,male,no,24,64,0
836,30.29,female,yes,35,69,0
837,36.77,male,yes,2,68,0
838,32.33,female,yes,31,71,0
839,36.62,male,yes,22,68,0
840,48.12,male,yes,23,40,0
841,28.94,male,yes,15,68,0
842,2.43,female,no,23,59,0
843,1.32,female,yes,21,52,0
